GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MallPlanner,exception,InvalidInputException,0,4,0,0,0,2,0,1,0,1
MallPlanner,exception,NotEnoughSpaceException,0,10,0,0,0,4,0,2,0,2
MallPlanner,default,Main,65,0,2,0,15,0,3,0,2,0
MallPlanner,console,MallSetupScreen,174,0,10,0,53,0,7,0,2,0
MallPlanner,console,ShopScreen,320,0,22,0,85,0,19,0,8,0
MallPlanner,console,ConsoleOutput,20,0,0,0,7,0,4,0,4,0
MallPlanner,console,ConsoleInput,41,0,0,0,10,0,4,0,4,0
MallPlanner,console,FloorSetupScreen,175,0,10,0,36,0,7,0,2,0
MallPlanner,controller,MallController,240,0,4,0,49,0,15,0,13,0
MallPlanner,dao,FloorDAO,42,117,1,3,11,35,2,5,1,4
MallPlanner,dao,ServiceAreaDAO,130,0,4,0,41,0,7,0,5,0
MallPlanner,dao,ShopDAO,198,0,24,0,61,0,17,0,5,0
MallPlanner,dao,MallDAO,65,98,7,5,20,29,8,4,2,4
MallPlanner,dao,DatabaseConnection,15,35,1,1,4,14,2,1,1,1
MallPlanner,service,FloorService,0,22,0,4,0,6,0,4,0,2
MallPlanner,service,MallService,0,39,1,7,0,8,1,5,0,2
MallPlanner,service,AreaService,10,61,2,10,2,14,2,7,0,3
MallPlanner,service,ShopService,0,51,0,4,0,10,0,5,0,3
MallPlanner,model,ServiceArea,55,0,0,0,19,0,10,0,10,0
MallPlanner,model,Floor,20,61,0,0,10,23,5,9,5,9
MallPlanner,model,Mall,8,34,0,0,4,14,2,6,2,6
MallPlanner,model,Shop,56,0,0,0,19,0,10,0,10,0
MallPlanner,i18n,Messages,29,0,0,0,7,0,5,0,5,0
