GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MallPlanner,exception,InvalidInputException,0,4,0,0,0,2,0,1,0,1
MallPlanner,exception,NotEnoughSpaceException,0,10,0,0,0,4,0,2,0,2
MallPlanner,default,Main,150,0,4,0,41,0,4,0,2,0
MallPlanner,console,ShopScreen,352,0,24,0,95,0,21,0,9,0
MallPlanner,console,ConsoleInput,41,0,0,0,10,0,4,0,4,0
MallPlanner,console,LanguageScreen,28,0,4,0,12,0,4,0,2,0
MallPlanner,console,FloorSetupScreen,175,0,10,0,36,0,7,0,2,0
MallPlanner,console,MallSetupScreen,228,0,10,0,53,0,7,0,2,0
MallPlanner,console,ConsoleOutput,20,0,0,0,7,0,4,0,4,0
MallPlanner,console,SuggestionScreen,163,0,12,0,37,0,8,0,2,0
MallPlanner,console,ReportScreen,112,0,6,0,26,0,5,0,2,0
MallPlanner,controller,MallController,314,0,4,0,62,0,19,0,17,0
MallPlanner,dao,FloorDAO,42,117,1,3,11,35,2,5,1,4
MallPlanner,dao,ShopDAO,0,213,11,13,0,64,11,6,0,5
MallPlanner,dao,MallDAO,65,98,7,5,20,29,8,4,2,4
MallPlanner,dao,DatabaseConnection,15,35,1,1,4,14,2,1,1,1
MallPlanner,dao,ServiceAreaDAO,27,103,1,3,8,33,2,5,1,4
MallPlanner,service,FloorService,0,22,0,4,0,6,0,4,0,2
MallPlanner,service,MallService,0,39,1,7,0,8,1,5,0,2
MallPlanner,service,ProfitService,9,131,5,13,1,25,5,8,0,4
MallPlanner,service,ShopService,0,134,1,11,0,28,1,13,0,8
MallPlanner,service,SuggestionService,10,127,3,11,2,22,3,9,0,5
MallPlanner,service,AreaService,5,66,1,11,1,15,1,8,0,3
MallPlanner,model,ServiceArea,12,43,0,0,3,16,3,7,3,7
MallPlanner,model,Mall,8,34,0,0,4,14,2,6,2,6
MallPlanner,model,Floor,20,61,0,0,10,23,5,9,5,9
MallPlanner,model,FloorProfit,6,45,0,0,2,16,2,7,2,7
MallPlanner,model,Shop,4,64,0,0,1,22,1,11,1,11
MallPlanner,model,Suggestion,10,31,0,0,2,11,2,6,2,6
MallPlanner,i18n,Messages,29,0,0,0,7,0,5,0,5,0
